"","CPSID","county","weight","hhsize","FSTOTXPNC_perpers","FSSTATUS","FSSTATUSMD","FSFOODS","FSWROUTY","FSBAL","FSRAWSCRA","FSTOTXPNC","FSSTMPVALC","female","hispanic","black","kids","elderly","education","married","FSSTMPVALC_bin","FSSTMPVALC_bin_char"
"107","20210902160400","0",5617.3968,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,3,0,2,2,0,"No"
"108","20210902160800","0",4612.532,2,75,0,0,0,NA,NA,0,150,NA,1,0,0,0,0,1,0,0,"No"
"109","20210902161100","0",5130.5132,3,76.6666666666667,0,0,0,0,0,0,230,NA,1,0,0,1,0,1,2,0,"No"
"110","20210902163700","0",4530.0854,1,100,0,0,0,NA,NA,0,100,NA,0,0,0,0,0,1,0,0,"No"
"111","20210902165800","0",4556.2052,2,100,0,1,0,0,1,0,200,200,1,0,0,0,0,0,2,1,"Yes"
"112","20210902167100","0",5374.0619,4,125,1,1,1,1,1,1,500,NA,2,0,1,3,0,0,0,0,"No"
"113","20210902167300","0",3775.308,2,100,0,0,0,NA,NA,0,200,NA,2,0,0,0,1,1,0,0,"No"
"114","20210902167600","0",5072.7628,1,350,1,1,1,1,0,1,350,NA,0,0,0,0,0,1,0,0,"No"
"115","20210902169300","0",3441.55,2,75,0,0,0,0,0,0,150,250,2,1,0,1,0,0,0,1,"Yes"
"116","20210902171900","18141",3441.55,2,65,0,0,0,NA,NA,0,130,NA,1,0,0,0,0,2,2,0,"No"
"117","20210902173100","0",5383.7597,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,1,0,0,0,0,"No"
"118","20210902175500","0",3650.673,1,100,0,0,1,0,0,0,100,NA,1,0,0,0,1,0,0,0,"No"
"119","20210902176600","0",6957.3618,4,60,0,0,0,NA,NA,0,240,NA,1,1,0,2,0,2,2,0,"No"
"120","20210902177200","0",4020.5642,2,0,0,0,0,NA,NA,0,0,NA,1,0,2,0,1,0,0,0,"No"
"121","20210902177500","0",6877.8543,2,120,0,0,1,0,1,0,240,NA,1,1,0,0,0,2,2,0,"No"
"122","20210902178100","0",3650.673,2,145,0,0,0,NA,NA,0,290,NA,1,0,0,0,2,0,2,0,"No"
"123","20210902180200","0",4111.0598,2,85,0,0,0,0,0,0,170,NA,1,0,0,0,2,1,2,0,"No"
"124","20210902181700","0",3866.6571,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,"No"
"125","20210902181900","0",6661.5484,1,110,0,0,0,NA,NA,0,110,NA,0,0,0,0,0,1,0,0,"No"
"126","20210902183700","0",3650.673,1,30,0,0,0,NA,NA,0,30,NA,1,0,0,0,1,1,0,0,"No"
"127","20210902184600","0",3650.673,2,90,0,0,0,NA,NA,0,180,NA,1,0,0,0,2,1,2,0,"No"
"128","20210902185100","0",3866.6571,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,0,2,0,"No"
"129","20210902186500","18141",6672.6959,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,2,2,0,"No"
"130","20210902187700","18141",3000.2708,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,"No"
"131","20210902187900","18141",2819.8825,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,"No"
"132","20210902190600","0",3866.6571,2,140,0,0,0,NA,NA,0,280,NA,1,0,0,0,2,2,2,0,"No"
"133","20210902192000","0",4020.5642,1,90,0,0,0,NA,NA,0,90,NA,1,0,1,0,1,1,0,0,"No"
"134","20210902192200","18141",5731.8635,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,0,1,0,0,"No"
"135","20210902193000","0",3775.308,2,140,0,0,0,NA,NA,0,280,NA,1,0,0,0,2,2,2,0,"No"
"136","20210902194000","0",3294.0925,2,165,0,0,0,NA,NA,0,330,NA,1,0,0,0,2,0,2,0,"No"
"137","20210902194400","0",4886.0119,2,190,0,0,0,NA,NA,0,380,NA,0,0,0,1,0,1,0,0,"No"
"138","20210902194800","0",3185.3439,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,1,2,0,"No"
"139","20210902200300","0",4069.2956,2,110,1,1,1,0,1,1,220,NA,1,0,0,0,1,0,2,0,"No"
"140","20210902203900","18019",7480.8546,2,75,0,0,0,NA,NA,0,150,NA,1,0,0,0,0,2,2,0,"No"
"141","20210902205500","18081",4201.7303,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"No"
"142","20210902206800","0",4069.2956,1,0,0,0,0,NA,NA,0,0,NA,1,0,0,0,0,0,0,0,"No"
"143","20210902209200","18019",3294.0925,2,NA,0,0,0,NA,NA,0,NA,NA,1,0,0,0,1,0,2,0,"No"
"144","20210902210600","18081",3185.3439,2,75,0,0,0,NA,NA,0,150,NA,1,0,0,0,1,0,0,0,"No"
"145","20210902212200","0",3373.7979,2,90,0,0,0,NA,NA,0,180,NA,1,0,0,0,2,1,2,0,"No"
"146","20210902213900","0",3073.5792,2,75,0,0,0,NA,NA,0,150,NA,1,0,0,0,0,2,2,0,"No"
"147","20210902216400","0",7068.1185,5,76,1,1,1,0,1,1,380,500,3,0,0,3,0,0,0,1,"Yes"
"148","20210902216600","0",3620.7054,3,103.333333333333,0,0,0,NA,NA,0,310,NA,1,0,0,1,0,2,2,0,"No"
"149","20210902218300","18081",4069.2956,2,110,0,0,0,NA,NA,0,220,NA,1,0,0,0,0,2,2,0,"No"
"150","20210902220000","0",4069.2956,2,45,1,0,1,0,1,1,90,NA,1,0,0,1,0,0,0,0,"No"
"151","20210902220800","0",3185.3439,1,0,0,0,1,0,0,0,0,NA,1,0,0,0,1,0,0,0,"No"
"152","20210902229400","0",3999.3407,1,70,0,0,0,0,0,0,70,NA,0,0,0,0,0,0,0,0,"No"
"153","20210902230900","0",6386.5199,1,70,0,0,0,0,0,0,70,NA,1,0,0,0,0,0,0,0,"No"
"154","20210902235400","0",5203.6993,5,64,0,0,0,NA,NA,0,320,NA,2,0,0,3,0,2,2,0,"No"
"155","20210902235800","0",3241.1389,2,2,0,0,0,0,0,0,4,NA,1,0,0,0,2,0,2,0,"No"
